state,85Income,85Price,85SaleTx,85Quant,85CigTx,95Income,95Price,95SaleTx,95Quant,95CigTx,Income,Price,SalesTax,Quantity,CigTax
NE,2.547068746,4.576956845,3.739158546,4.676389835,31.59851374,2.678558587,4.783629369,5.692259484,4.469014853,38.05774454,0.131489841,0.206672525,1.953100938,-0.207374982,6.459230805
NH,2.687702964,4.485875809,0,5.288236667,30.66914569,2.797867805,4.694507363,0,5.05201231,32.15223246,0.110164841,0.208631554,0,-0.236224356,1.483086772
NJ,2.797555044,4.631010627,0,4.758073903,38.1040901,2.955472215,4.892296902,7.542978471,4.386657998,41.9947526,0.15791717,0.261286275,7.542978471,-0.371415905,3.890662503
NM,2.411130013,4.559320882,3.673791084,4.48573531,26.02230543,2.515256469,4.749976149,5.503882515,4.169279927,29.52756042,0.104126456,0.190655267,1.830091432,-0.316455384,3.50525499
NV,2.656744037,4.664600148,6.006971306,4.955516031,28.81040959,2.829347106,4.909442113,8.868655918,4.538240707,38.71391255,0.172603069,0.244841965,2.861684612,-0.417275324,9.903502968
NY,2.744070277,4.62721016,0.818929727,4.759288735,34.38662144,2.900854725,4.980699134,5.599079742,4.260103629,52.49344075,0.156784448,0.353488974,4.780150015,-0.499185106,18.10681931
OH,2.586559402,4.536148237,4.444313861,4.848890493,27.88104153,2.709219528,4.689994046,5.183452936,4.712948712,31.49606445,0.122660126,0.153845809,0.739139076,-0.135941781,3.615022916
OK,2.511705735,4.546493814,0.768044642,4.845283856,31.59851374,2.543645563,4.715253796,5.316053722,4.68840877,30.83989644,0.031939828,0.168759982,4.54800908,-0.156875086,-0.758617298
OR,2.532749885,4.501804118,0,4.782929655,32.52788179,2.69960994,4.827263379,0,4.523480042,40.68241658,0.166860055,0.325459261,0,-0.259449613,8.154534792
PA,2.597023207,4.618776159,5.737918149,4.768164722,31.59851374,2.745753573,4.750072213,6.542977063,4.560623443,36.08924052,0.148730366,0.131296053,0.805058914,-0.207541278,4.490726777
RI,2.615599444,4.541292343,0,4.888707059,36.245354,2.758641546,4.992355738,9.635335012,4.528286983,52.49344075,0.143042102,0.451063394,9.635335012,-0.360420076,16.24808676
SC,2.383213142,4.433658975,4.011384709,4.845834879,21.37546518,2.547705497,4.607914108,4.774989952,4.682897123,20.34120829,0.164492355,0.174255132,0.763605243,-0.162937756,-1.034256886
SD,2.407348954,4.502319304,0,4.668992098,28.81040959,2.566751217,4.7028517,4.240814666,4.576968538,30.83989644,0.159402263,0.200532396,4.240814666,-0.09202356,2.029486855
TN,2.431906179,4.55118795,5.362918509,4.866261292,26.95167348,2.660593628,4.697056527,8.120296884,4.806640996,24.27821635,0.228687449,0.145868577,2.757378375,-0.059620296,-2.673457136
TX,2.579550729,4.603123481,3.838291044,4.745826756,32.7602238,2.647916671,4.867949974,7.361550059,4.291545256,42.65092061,0.068365943,0.264826494,3.523259015,-0.454281499,9.890696807
UT,2.398709094,4.629008698,5.79693251,4.220187724,26.02230543,2.515604608,4.777027437,5.654800857,3.897359981,33.13648447,0.116895514,0.148018739,-0.142131653,-0.322827743,7.114179042
VA,2.653536494,4.444348216,3.274782958,4.897912903,17.19331072,2.77552571,4.694624928,5.207513815,4.657638068,17.388456,0.121989215,0.250276712,1.932730857,-0.240274835,0.195145284
VT,2.491277495,4.541705088,0,4.978683702,30.66914569,2.640135196,4.747090907,5.488025489,4.80676118,28.87139241,0.148857701,0.205385819,5.488025489,-0.171922522,-1.797753275
WA,2.616941452,4.790129935,7.871206103,4.56672169,36.245354,2.751610184,5.055582545,10.26421942,4.182522122,52.82152476,0.134668732,0.26545261,2.393013321,-0.384199569,16.57617076
WI,2.554622907,4.668110136,5.071250153,4.680991679,38.1040901,2.695434103,4.883861497,6.292378474,4.526844759,40.68241658,0.140811196,0.215751361,1.221128321,-0.15414692,2.578326485
WV,2.318714331,4.617282866,4.819933921,4.726036503,30.66914569,2.464175316,4.693760085,6.184710892,4.749866304,26.90288838,0.145460985,0.076477218,1.364776971,0.023829801,-3.766257303
WY,2.582348745,4.464354433,0,4.862908335,22.30483323,2.647354423,4.644678965,0,4.720622831,23.62204834,0.065005678,0.180324532,0,-0.142285504,1.31721511
